Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:15:55 PM     all      2.85      0.00      0.22      0.00      0.00     96.92
12:15:56 PM     all      0.23      0.00      0.30      0.58      0.00     98.90
12:15:57 PM     all      0.00      0.00      0.50      1.90      0.00     97.60
12:15:58 PM     all      0.03      0.00      0.13      0.70      0.00     99.15
12:15:59 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:16:00 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
12:16:01 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:16:02 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
12:16:03 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
12:16:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.98
12:16:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00


Average:        all     48.95      0.00      4.99      0.02      0.00     46.04
